date,open,high,low,close,volume,amount
2025-01-02,5.975,5.981,5.96,5.977,233072890,1391842500
2025-01-03,6.02,6.034,6.012,6.029,275912900,1661519900
2025-01-06,6.023,6.025,5.984,5.99,298085000,1789609700
2025-01-07,5.992,6.009,5.987,6,217772900,1305979330
2025-01-08,6.01,6.031,6.01,6.03,160473260,965957920
2025-01-09,6.038,6.066,6.032,6.065,156605360,946209480
2025-01-10,6.078,6.109,6.075,6.105,241484690,1470619600
2025-01-13,6.105,6.133,6.104,6.12,353089300,2160358200
2025-01-14,6.07,6.075,6.062,6.068,286920000,1740951000
2025-01-15,6.075,6.109,6.07,6.102,238686400,1452719700
2025-01-16,6.139,6.141,6.11,6.122,241313300,1478521200
2025-01-17,6.146,6.162,6.136,6.139,247982000,1524953600
2025-01-20,6.091,6.131,6.089,6.127,198219500,1210507370
2025-01-21,6.102,6.131,6.102,6.127,195442100,1196663050
2025-01-22,6.17,6.215,6.169,6.181,296770530,1836180900
2025-01-23,6.183,6.194,6.18,6.187,192367940,1190173540
2025-01-24,6.209,6.225,6.199,6.218,227492200,1413858400
2025-01-27,6.218,6.218,6.181,6.202,228818690,1417961900
2025-02-05,6.4,6.441,6.385,6.439,367016110,2354135600
2025-02-06,6.441,6.454,6.4,6.402,305318100,1965257100
2025-02-07,6.43,6.435,6.414,6.42,202194200,1299373110
2025-02-10,6.46,6.519,6.46,6.518,315643190,2046965400
2025-02-11,6.628,6.645,6.531,6.584,688982800,4542010100
2025-02-12,6.542,6.548,6.511,6.538,342637100,2237983400
2025-02-13,6.564,6.587,6.559,6.57,284025230,1866398000
2025-02-14,6.599,6.607,6.585,6.605,246676100,1627112900
2025-02-17,6.477,6.505,6.47,6.494,396972680,2575282900
2025-02-18,6.5,6.56,6.497,6.555,292830130,1913822100
2025-02-19,6.595,6.624,6.576,6.598,315610500,2084378900
2025-02-20,6.61,6.621,6.598,6.619,208220000,1375763000
2025-02-21,6.608,6.608,6.544,6.568,411983900,2707414900
2025-02-24,6.549,6.586,6.539,6.581,246679300,1620085700
2025-02-25,6.605,6.611,6.575,6.582,264729920,1745731800
2025-02-26,6.562,6.564,6.515,6.519,294958640,1929025400
2025-02-27,6.533,6.541,6.484,6.492,303901040,1978797900
2025-02-28,6.479,6.487,6.435,6.444,280864400,1814366400
2025-03-03,6.445,6.455,6.435,6.451,258749950,1668225500
2025-03-04,6.49,6.507,6.487,6.499,265743800,1726309000
2025-03-05,6.523,6.551,6.521,6.547,221884100,1449964000
2025-03-06,6.53,6.546,6.527,6.535,187622980,1226197910
2025-03-07,6.506,6.529,6.503,6.526,212238680,1382860800
