date,open,high,low,close,volume,amount
2025-08-22,44.5,47.29,44.0,45.83,241263010.0,11006049637.86
2025-08-25,46.5,48.07,44.7,48.0,306073008,14043646790.13
2025-08-26,46.88,47.0,45.48,45.48,221637437,10207619379.57
2025-08-27,45.0,47.89,44.51,45.72,260361155,12048546712.95
2025-08-28,44.6,49.95,44.22,48.94,345929345,16267081570.69
2025-08-29,48.0,53.83,47.14,53.83,343022654,17371646435.71
2025-09-01,53.99,56.96,52.3,55.62,269519213,14793140837.75
2025-09-02,56.7,58.0,52.51,53.88,272311538,15010975666.24
2025-09-03,53.88,55.6,51.08,54.24,221915698,11903006051.76
2025-09-04,56.5,57.88,49.93,53.13,333831271,18022745304.88
2025-09-05,53.3,57.2,50.6,55.83,339091254,18175746989.43
2025-09-08,55.0,56.14,50.38,51.4,303251521,15981215892.43
2025-09-09,50.4,51.5,47.5,48.79,262177391,12944729646.49
2025-09-10,51.6,53.67,50.6,53.67,346078651,18310218737.15
2025-09-11,55.8,59.04,54.65,59.04,272279844,15528041270.94
2025-09-12,58.88,63.1,58.03,61.9,315605216,19269402666.69
2025-09-15,60.0,61.28,58.5,59.9,193171858,11563491311.75
2025-09-16,59.87,61.9,58.87,59.73,179496997,10801450448.35
2025-09-17,58.9,63.0,57.71,61.12,241909399,14585318191.36
2025-09-18,59.39,67.23,59.39,64.36,315066851,20292012592.19
2025-09-19,65.64,68.63,65.0,66.1,236867281,15781011243.84
2025-09-22,66.55,71.89,64.64,70.5,239928000.0,16708442541.98
2025-09-23,74.72,74.72,68.5,70.87,267032716,19020544373.89
2025-09-24,68.8,69.94,67.5,68.63,196384443,13461289667.91
2025-09-25,67.88,69.86,66.19,68.46,188668167,12883412578.11
2025-09-26,67.55,68.51,64.65,64.87,192175650.0,12691205307.04
2025-09-29,64.85,67.5,64.85,66.58,155035785,10295116891.92
2025-09-30,66.8,69.48,65.52,66.01,165341739,11090699578.47
2025-10-09,67.11,70.88,67.0,68.45,221543652,15252473526.73
2025-10-10,68.31,69.99,65.46,66.41,184283841,12406938350.18
2025-10-13,61.0,64.63,61.0,63.48,170867713,10776334665.91
2025-10-14,64.99,65.66,59.25,59.72,194679098,12102481124.41
2025-10-15,59.72,63.9,58.5,63.38,191166300.0,11740563454.8
2025-10-16,62.0,64.35,61.7,63.59,115939328,7332048118.43
2025-10-17,63.0,63.27,59.9,60.01,137879485,8413468099.57
2025-10-20,62.0,63.82,61.07,62.06,145002286,9053010272.06
2025-10-21,62.94,68.19,62.42,68.0,252287766,16620319079.53
2025-10-22,66.99,67.0,64.5,65.46,167191686,11014894219.91
2025-10-23,64.8,65.02,62.7,63.99,111025337,7078123496.03
2025-10-24,65.18,67.7,64.06,67.25,179020774,11869082164.44
2025-10-27,69.26,73.58,69.26,72.76,234879242,16679873611.39
2025-10-28,71.18,75.76,71.05,73.99,202804199,14958411163.74
2025-10-29,78.12,81.39,77.9,80.8,199193919,15896272624.22
2025-10-30,80.0,83.88,77.7,77.97,240890950.0,19314782838.18
2025-10-31,77.95,78.67,71.5,72.0,246298664,18180679395.3
2025-11-03,70.36,76.0,70.21,74.89,214332627,15719905803.85
2025-11-04,74.77,75.2,72.47,73.49,131235753,9664880743.3
2025-11-05,70.31,75.8,69.87,75.24,167250715,12189758182.11
2025-11-06,75.24,76.7,74.1,76.22,172482897,13036723386.08
2025-11-07,74.07,74.5,71.63,72.7,158542019,11558342729.12
2025-11-10,72.0,72.21,68.0,71.5,212282559,14784377559.54
2025-11-11,72.0,72.06,68.0,68.03,140935264,9758753282.14
2025-11-12,66.45,69.55,65.66,68.6,136968180.0,9283976951.19
2025-11-13,67.58,68.87,66.19,67.99,121665589,8199301372.72
2025-11-14,65.8,66.49,64.26,64.27,155045196,10095924260.57
2025-11-17,64.39,66.49,64.32,64.94,116268089,7593007713.24
2025-11-18,63.65,66.5,63.2,64.72,114697538,7466283351.35
2025-11-19,64.5,66.62,64.2,65.06,145636642,9533078295.31
2025-11-20,68.06,68.33,65.0,65.94,142175376,9427698402.35
2025-11-21,63.05,63.45,60.08,60.67,190289343,11707877588.71
2025-11-24,61.0,61.8,54.6,55.94,332009071,18723572081.38
2025-11-25,56.36,58.34,56.16,56.61,226214444,12916587347.77
2025-11-26,55.31,61.1,55.02,58.93,281284286,16345298898.56
2025-11-27,60.02,63.45,59.91,60.27,275887464,17029728372.61
2025-11-28,60.24,60.76,59.02,60.72,166778785,10007823545.25
2025-12-01,60.03,60.21,58.0,59.81,180788700.0,10722486459.79
2025-12-02,59.83,62.7,59.72,60.96,209127721,12795589249.57
2025-12-03,61.0,62.77,61.0,61.68,186593118,11572935737.26
2025-12-04,60.88,62.96,59.68,61.4,157077468,9625767960.78
2025-12-05,61.99,62.26,60.0,61.12,130559029,7989114088.04
2025-12-08,60.75,64.27,60.38,63.41,241075371,15117129370.67
2025-12-09,64.0,68.38,63.18,67.99,293803972,19562027295.8
2025-12-10,66.84,66.96,64.0,65.21,219527524,14245136589.25
2025-12-11,64.01,64.88,61.61,62.3,192090669,12140309726.76
2025-12-12,61.0,62.5,59.86,61.75,168514361,10301366981.69
2025-12-15,59.5,60.68,59.11,59.14,137405776,8203956640.83
2025-12-16,58.95,60.32,58.38,58.95,129422100.0,7675208175.31
2025-12-17,59.1,61.56,58.68,61.5,162252639,9798305827.7
2025-12-18,59.56,59.86,58.25,58.28,176150213,10379614295.98
2025-12-19,59.19,59.22,57.74,58.3,99007715,5794317499.78
2025-12-22,59.47,61.0,59.12,60.62,176485282,10628028374.06
2025-12-23,60.56,63.38,60.32,62.86,216493755,13545831355.29
2025-12-24,64.18,66.0,63.59,65.14,217873034,14124843135.52
2025-12-25,65.4,68.15,65.4,66.72,202224528,13545522349.77
2025-12-26,66.5,66.5,63.8,63.84,192929740.0,12420981634.78
2025-12-29,63.74,66.39,63.73,65.24,188492424,12359241736.65
2025-12-30,63.8,65.3,63.01,64.23,149296167,9567558934.92
2025-12-31,64.24,64.54,61.86,62.05,156410378,9816587478.3
2026-01-05,63.29,64.28,62.71,63.67,159340565,10131702308.06
2026-01-06,63.67,64.97,62.86,64.05,170861519,10875605983.41
2026-01-07,63.41,64.66,62.6,63.15,165700324,10505069732.42
2026-01-08,63.31,63.47,61.07,61.33,185971526,11514884182.2
2026-01-09,60.5,61.75,60.05,61.48,156532098,9545355898.57
2026-01-12,61.49,61.7,59.75,60.93,211081625,12764097982.06
2026-01-13,60.78,61.73,59.09,59.43,193031606,11626275821.78
2026-01-14,60.1,60.49,59.37,60.0,156240185,9382960103.92
2026-01-15,59.3,61.0,58.89,60.79,142621511,8569045662.7
2026-01-16,61.2,64.0,61.2,63.0,262596271,16419501558.28
2026-01-19,62.11,62.18,60.71,60.9,188389009,11531498547.48
2026-01-20,60.3,60.45,58.8,59.67,139511512,8288321803.67
