date,open,high,low,close,volume,amount
2023-01-03,0.519,0.529,0.513,0.529,260989600,136060060
2023-01-04,0.537,0.552,0.531,0.551,407768900,220995630
2023-01-05,0.557,0.568,0.545,0.546,547725700,305058210
2023-01-06,0.552,0.562,0.549,0.552,361886950,200887980
2023-01-09,0.558,0.577,0.558,0.572,425820650,242160010
2023-01-10,0.576,0.585,0.569,0.578,322196800,185496650
2023-01-11,0.583,0.588,0.577,0.577,221633500,129201811
2023-01-12,0.575,0.578,0.558,0.559,273184400,154755590
2023-01-13,0.559,0.579,0.554,0.576,341150100,193109210
2023-01-16,0.576,0.586,0.573,0.578,371373300,215619580
2023-01-17,0.578,0.593,0.575,0.582,328894100,191775680
2023-01-18,0.566,0.57,0.56,0.564,432024100,244292900
2023-01-19,0.565,0.581,0.561,0.577,399244000,228640320
2023-01-20,0.585,0.603,0.584,0.603,397587700,236436600
2023-01-30,0.596,0.599,0.582,0.583,457842800,268640580
2023-01-31,0.584,0.592,0.576,0.578,320682100,187017820
2023-02-01,0.581,0.594,0.58,0.593,375190500,219807220
2023-02-02,0.6,0.601,0.586,0.588,310067900,183814360
2023-02-03,0.582,0.585,0.577,0.583,209725300,121805225
2023-02-06,0.577,0.579,0.565,0.566,208697700,118796056
2023-02-07,0.564,0.569,0.563,0.564,206486000,116917311
2023-02-08,0.567,0.57,0.562,0.563,174980200,99037747
2023-02-09,0.565,0.582,0.563,0.582,337405200,193587040
2023-02-10,0.578,0.582,0.57,0.572,166542600,95987897
2023-02-13,0.569,0.57,0.556,0.566,335131800,188305940
2023-02-14,0.572,0.574,0.566,0.567,144509000,82308842
2023-02-15,0.569,0.573,0.563,0.568,212779400,120876948
2023-02-16,0.575,0.588,0.571,0.575,402271600,233331880
2023-02-17,0.578,0.589,0.573,0.574,236400900,137487200
2023-02-20,0.571,0.585,0.571,0.585,254347100,146921490
2023-02-21,0.585,0.589,0.578,0.581,207206300,120843504
2023-02-22,0.578,0.579,0.565,0.574,218094100,124560168
2023-02-23,0.583,0.59,0.579,0.582,247698800,144725880
2023-02-24,0.58,0.584,0.575,0.577,159128900,92142379
2023-02-27,0.575,0.577,0.563,0.564,186689500,106249090
2023-02-28,0.567,0.57,0.552,0.56,207605900,116276419
2023-03-01,0.563,0.578,0.559,0.577,339438700,193553120
2023-03-02,0.577,0.585,0.576,0.579,185313100,107592867
2023-03-03,0.589,0.605,0.587,0.599,436537600,260523440
2023-03-06,0.601,0.605,0.588,0.591,175379800,104134717
2023-03-07,0.589,0.59,0.572,0.573,357876200,206998180
2023-03-08,0.564,0.565,0.548,0.552,378682200,210114710
2023-03-09,0.557,0.559,0.548,0.551,287645700,159082440
2023-03-10,0.545,0.547,0.539,0.541,191646700,104003318
2023-03-13,0.543,0.554,0.542,0.553,330174000,181050490
2023-03-14,0.553,0.553,0.528,0.534,324423900,174485640
