code,name,market,role,thscode,rows,first_date,last_date,first_close,last_close,return_pct,ann_vol_pct,downside_vol_pct,max_drawdown_pct,worst_day_pct,positive_day_pct,avg_amount,median_amount,provider_request_ids,stability_score,market_rank
600900,长江电力,SH,candidate,600900.SH,242,2025-08-22,2026-08-21,27.87,27.96,0.32292787944026013,13.454831788369907,7.9311501933890725,-10.377358490566046,-2.5817555938037917,44.81327800829876,2878765016.791405,2511036381.84,"['75afe0938f1a4588ac19e42905e0031b', '1ffbb5294d5b4241a0fa44f7fba80974']",91.67,1
601398,工商银行,SH,candidate,601398.SH,242,2025-08-22,2026-08-21,7.63,7.77,1.83486238532109,19.00160762207519,11.99014871694947,-16.726835138387496,-3.7688442211055273,46.47302904564315,2616197333.8461986,2491699603.87,"['6347f4b595f541d8b007e111a3f639f2', 'f19bd971676b436c810f38f1ede720bf']",46.67,2
600941,中国移动,SH,candidate,600941.SH,242,2025-08-22,2026-08-21,109.54,96.25,-12.13255431805733,15.561117658070215,10.559132101694384,-21.764011263511673,-3.8597219340112066,46.058091286307054,1161872554.665,1041767226.495,"['1fd2cd4a4c7c45d4813c23c75dc863e2', 'a2904dd6c7bd435cb744091607834b02']",41.67,3
601138,工业富联,SH,current,601138.SH,242,2025-08-22,2026-08-21,45.83,62.84,37.115426576478306,61.569575241705635,34.328663283689174,-41.08910891089109,-8.793349785686445,51.037344398340245,12079055088.703016,11213820279.154999,"['657c868e4f7b4d4ea7ae5092c0488990', '78b563e043794abc98f1c851c5db5244']",20.0,4
000001,平安银行,SZ,candidate,000001.SZ,242,2025-08-22,2026-08-21,12.06,11.41,-5.389718076285243,15.48956955963297,8.725396219934908,-19.277108433734924,-2.9712163416898862,43.983402489626556,1128459475.2877686,1031418928.2,"['6c3edf0f5dbf420dbbbb8cb857bd0e96', '111730ca7dd94b5fbc4152aaa74d20fd']",70.0,1
000333,美的集团,SZ,candidate,000333.SZ,242,2025-08-22,2026-08-21,72.09,84.3,16.93716188098209,19.032093803429344,11.094211049540316,-12.3191049495318,-3.5838459481144835,49.79253112033195,2723992968.7088428,2575499190.4849997,"['58d4cb8fe2d64ef8b2c25bb269705ea1', '86bc5f67a79748d88b0b9246b5640da9']",63.33,2
000651,格力电器,SZ,candidate,000651.SZ,242,2025-08-22,2026-08-21,47.11,41.24,-12.460199533007854,18.903856591485667,16.349883264586055,-23.659043659043665,-9.84126984126984,46.47302904564315,1795748293.0852892,1588072745.915,"['8923cac6a21645d19c56373701bf063f', 'a93b6faa22fd408bab88529f4276458e']",46.67,3
300750,宁德时代,SZ,current,300750.SZ,242,2025-08-22,2026-08-21,287.18,391.15,36.203774636116705,38.80824883441585,20.519228259640197,-24.182608695652174,-7.121171770972035,48.13278008298755,12758897530.190083,11880865982.695,"['1b111699c0284a07b236f994171c9501', '1306fd1177e54c3eab8b0110667119ab']",20.0,4
